#,Item ID,Source / Scoring Role,Domain(s),Body Region,Question Text,Response Options,Design Note
SECTION 1 - SELF-CARE AND PERSONAL HYGIENE,,,,,,,
1,PFA16r1,PROMIS PF SF 20a (scored),Dressing,"Upper extremity, Lower extremity, cervical spine, thoracic spine, lumbar spine","Are you able to dress yourself, including tying shoelaces and buttoning your clothes?",5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Scored on PF 20a.
2,PFB17,Bank add-on (unscored),Dressing (lower body),"Upper extremity, Lower extremity, cervical spine, thoracic spine, lumbar spine",Are you able to put on and take off your shoes and socks?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Closes the reach-to-foot gap 20a leaves.
3,PFA36,PROMIS UE SF 7a (scored),Dressing (upper body),"Upper extremity, cervical spine, thoracic spine",Are you able to put on and take off a coat or jacket?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Scored on UE 7a.
4,PFA35,Neuro-QOL UE SF (scored),Dressing (fasteners),Upper extremity,Are you able to open and close a zipper?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Scored on Neuro-QOL UE.
5,PFA55,PROMIS PF SF 20a (scored) + Neuro-QOL UE SF (scored),Bathing,"Upper extremity, Lower extremity, cervical spine, thoracic spine, lumbar spine",Are you able to wash and dry your body?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,ASK ONCE - response feeds both the PF 20a and Neuro-QOL UE scores.
6,PFA34,PROMIS PF SF 20a (scored) + PROMIS UE SF 7a (scored),Bathing (reach),"Upper extremity, cervical spine, thoracic spine",Are you able to wash your back?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,ASK ONCE - feeds both PF 20a and UE 7a scores.
7,PFA38,PROMIS PF SF 20a (scored),Bathing (reach),"Upper extremity, cervical spine, thoracic spine",Are you able to dry your back with a towel?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,
8,PFB26,PROMIS PF SF 20a (scored) + Neuro-QOL UE SF (scored),Bathing / grooming,"Upper extremity, cervical spine",Are you able to shampoo your hair?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,ASK ONCE - feeds both PF 20a and Neuro-QOL UE scores.
10,PFB18,Bank add-on (unscored),Grooming,Upper extremity,Are you able to shave your face or apply makeup?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Sustained arms-elevated grooming.
12,PFA50,Neuro-QOL UE SF (scored),Dental care,Upper extremity,Are you able to brush your teeth?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Scored on Neuro-QOL UE.
13,PFC45r1,PROMIS PF SF 20a (scored),Toileting (transfer),"Upper extremity, Lower extremity, cervical spine, thoracic spine, lumbar spine",Are you able to sit on and get up from the toilet?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,
14,PFC51,Bank add-on (unscored),Toileting (hygiene),"Upper extremity, Lower extremity, cervical spine, thoracic spine, lumbar spine",Are you able to wipe yourself after using the toilet?,5=Without any difficulty; 4=With a little difficulty; 3=With some difficulty; 2=With much difficulty; 1=Unable to do,Completes toileting per AMA Table 1-2.
